ID,Titulo,PS4P,PS4S,PS5P,PS5S,URL
,Atomic Heart - Gold Edition,"36,00$",,,,
,Batman: Arkham Knight,5,,,,
,Dakar 18,"4,00$",,,,
,Dead Island definitive editon,3,,,,
,Five Nights at Freddy's 4,"5,00$",,"5,00$",,
,Gran Turismo Sport,18,,,,
,Grand Theft Auto V (PS4� & PS5�),"14,00$","14,00$",,NULL,
,HAY QUE DARLE UN GTA,"14,00$",,,,
,Homefront�: The Revolution,"7,5",,,,
,LittleBigPlanet 3,"13,5",,,,
,Marvels Midnight Suns Digital+ Edition for PS4,"16,00$",,,,
,Mortal Kombat 11 Ultimate + Injustice 2 Leg. Edition Bundle,"10,00$",,,,
,Mortal Kombat 11 Ultimate + Injustice 2 Leg. Edition Bundle,"10,00$",,"5,00$",,
,Olympic Games Tokyo 2020 � The Official Video Game�,5,,,,
,PS PLUS Extra 1 mes,,,"14,00$",,
,Rabbids: Party of Legends,8,,,,
,SnowRunner - 2-Year Anniversary Edition,,"13,00$","34,00$",NULL,
,Super Mega Baseball 4,,,"10,5",,
,TEKKEN 8 + Armor King,ND,ND,"26,50$",,
,Escape the Backrooms,6,,14,,
,The Witcher 3: Wild Hunt � Complete Edition,10,,,,
,Call of Duty: Modern Warfare 2 Campaign Remastered,"3,5",,7,,
,Wolfenstein II: The New Colossus,10,,,,
