ID,Titulo,PS4P,PS4S,PS5P,PS5S,URL
1138,Assassins Creed Syndicate,7,3,,NULL,https://image.api.playstation.com/cdn/EP0001/CUSA02376_00/IK3koKU9jw2vs3b8CF41x9lEcvAIiVpa6z7oGxWvMPHrHnoEbMD53jsGmdiLMP65.png?w=1024&
1193,Assassins Creed Valhalla - Deluxe Edition,,,"9,5",,https://image.api.playstation.com/vulcan/ap/rnd/202107/1908/cL56NlIExh6iTw6gbcIvmUQ0.png?w=1024&
1181,Batman: Arkham Collection,"6,5",5,,,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/DsXSr2e4lbbinbQ7VOcBIu2HtSTyhrv8.png?w=1024&
1161,BioShock: The Collection,8,,,,https://image.api.playstation.com/cdn/UP1001/CUSA03979_00/ivePKSUfdcJLlHTUTVLfWVCElVosmzyx.png?w=1024&
1141,Blasphemous,"2,50$",,,,https://image.api.playstation.com/vulcan/ap/rnd/202210/0610/5MnmcnD6qqpjLbOS84kdIzJo.png?w=1024&
1117,Call of Duty: Black Ops 4,8,,"7,5",,https://image.api.playstation.com/vulcan/img/cfn/113073miFl8n5KuJvbUODdSI8QAHJwVxQEnl2RAiJczrztnMIS-g3T2CyOvhthnE5hHJ7sRZ55W76sk30gfZWILvL0UAkzbT.png?w=1024&
1166,Call of Duty: Black Ops 4 - Digital Deluxe,11,,10,,https://image.api.playstation.com/cdn/UP0002/CUSA11100_00/BEzAljwpy76DZrISi8jbZ7ifPMdIls61.png?w=1024&
1149,Call of Duty: Vanguard - Cross-Gen Bundle,10,,,,https://image.api.playstation.com/vulcan/img/rnd/202109/2219/3nxLnMk9MS32r4wEPOwT0Xd2.png?w=1024&
1107,Call of Duty: WWII - Gold Edition,"10,5",,,,https://image.api.playstation.com/cdn/UP0002/CUSA05969_00/nlfYJ2MgBqIZiX5WAuTsjl65xJPfutjp.png?w=1024&
1107,Call of Duty: WWII - Gold Edition,10,,16,,https://image.api.playstation.com/cdn/UP0002/CUSA05969_00/nlfYJ2MgBqIZiX5WAuTsjl65xJPfutjp.png?w=1024&
709,Five Nights at Freddys: Security Breach,10,,16,,https://image.api.playstation.com/vulcan/img/rnd/202112/0804/2UTMvRFqn4SdaoxhtQnxchcn.png?w=1024&
1083,Crash Bandicoot - Crashiversary Bundle,10,,"14,5",,https://image.api.playstation.com/vulcan/img/rnd/202111/1823/eJC5Gvrsie9cGJsmHQHMZrWp.png?w=1024&
1090,Crash Bandicoot Bundle - N. Sane Trilogy + CTR Nitro-Fueled,7,,7,,https://image.api.playstation.com/vulcan/img/cfn/11307iJs-Ep_n_cx8jipRTakObh2Ve0GnSyyvGGHvZRgjlPMcjzP0LBCIq2qEkPZrNrJLxAeAkjbsLuuvKVtv1A74WIY0lMp.png?w=1024&
1090,Crash Bandicoot Bundle - N. Sane Trilogy + CTR Nitro-Fueled,"10,5",,,,https://image.api.playstation.com/vulcan/img/cfn/11307iJs-Ep_n_cx8jipRTakObh2Ve0GnSyyvGGHvZRgjlPMcjzP0LBCIq2qEkPZrNrJLxAeAkjbsLuuvKVtv1A74WIY0lMp.png?w=1024&
1168,Crash Team Racing Nitro-Fueled + Spyro Game Bundle,"8,5",,"8,5",,https://image.api.playstation.com/vulcan/img/cfn/11307bJJuTo3QQpiyOQvDANqB0dVR421HchsSQxgmkKzgs6EJqODRtwD-1rtmMMQglCia5TV5MaL4dUQQNLfqSroUYkj6n4N.png?w=1024&
1169,Crusader Kings III,ND,ND,"21,5",,https://image.api.playstation.com/vulcan/ap/rnd/202108/1607/czGau6hOvx9iQYOOkACdxqDl.png?w=1024&
1170,Crysis 3 Remastered,9,,,,https://image.api.playstation.com/vulcan/img/rnd/202110/1316/rIy0L0Kcna1MHuT5D5lWwsAW.png?w=1024&
1171,Cuphead & The Delicious Last Course,15,,15,,https://image.api.playstation.com/vulcan/ap/rnd/202206/0720/YtVQxeryHysv6WmGGAaIZnx5.png?w=1024&
1151,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles Deluxe Edition PS4 & PS5,"8,5",,,,https://image.api.playstation.com/vulcan/ap/rnd/202106/2115/yvl4t3kO54WQ2cn1E5X0Mh2U.png?w=1024&
1151,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles Deluxe Edition PS4 & PS5,9,,,,https://image.api.playstation.com/vulcan/ap/rnd/202106/2115/yvl4t3kO54WQ2cn1E5X0Mh2U.png?w=1024&
644,Devil May Cry 5 Special Edition,ND,ND,"10,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202009/1710/UUnpHLJqLAIJX5HioswiPuAm.png?w=1024&
649,Dishonored 2,"10,00$",,,,https://image.api.playstation.com/vulcan/ap/rnd/202009/2918/1UfdyQmXpeSdoFE104sNkLd4.png?w=1024&
659,DRAGON BALL FighterZ - FighterZ Edition PS4 & PS5,"17,5",8,,NULL,https://image.api.playstation.com/vulcan/ap/rnd/202402/1608/c8572ca2b1f8ff5479878a0f1c306b294e24528b31009b1f.png?w=1024&
662,DRAGON BALL XENOVERSE 2,?,,"12,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202312/2208/e4b4b4b9bba306e560f5ea1a6ea985692cce579f8b826c0b.png?w=1024&
662,DRAGON BALL XENOVERSE 2,"12,00$",?,,NULL,https://image.api.playstation.com/vulcan/ap/rnd/202312/2208/e4b4b4b9bba306e560f5ea1a6ea985692cce579f8b826c0b.png?w=1024&
663,DRAGON BALL XENOVERSE 2 Deluxe Edition,"5,00$",,"18,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202312/1404/39743389302fa977d0faaf43afc5c4fe3ff62f164a8f1219.png?w=1024&
663,DRAGON BALL XENOVERSE 2 Deluxe Edition,,,"9,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202312/1404/39743389302fa977d0faaf43afc5c4fe3ff62f164a8f1219.png?w=1024&
666,Dying Light - Essentials Edition,"6,00$",,,,https://image.api.playstation.com/vulcan/ap/rnd/202603/0308/63ac1d0e60a2dc6f3536a94100dd02fa934ad4e792dbd862.png?w=1024&
