"ID";Titulo;PS4;PS5;Precio Original: USA;Precio Oferta: USA;Precio Original: Turquia;Precio Oferta: Turquia;Precio Original: India;Precio Oferta: India;Precio Original: Panama;Precio Oferta: Panama;Precio Original: Brasil;Precio Oferta: Brasil;Imagen
632;Dead Rising 4: Franks Big Package - Additional Content;show;hide;Free;-;Free;-;Free;-;Gratuito;-;Gratuito;-;https://image.api.playstation.com/cdn/UP0102/CUSA08540_00/yhw5dHMLZSJmlAJsZMapdSX9XKPfOr7q.png?w=1024&
645;Diablo II: Resurrected;show;show;$39.99;-;1.246,00 TL;-;Rs?3,000;-;US$39.99;-;;;https://image.api.playstation.com/vulcan/ap/rnd/202105/3117/9dbHmg4NNVdSKxyuVDU9N7kz.png?w=1024&
627;Dead Island 2;show;show;$49.99;-;1.749,00 TL;-;Rs?2,999;-;US$49.99;-;R$249,50;-;https://image.api.playstation.com/vulcan/ap/rnd/202208/1012/V6WJkRhfNIQ3ePfAmrLSfGng.png?w=1024&
650;DmC Devil May Cry: Definitive Edition;show;hide;$39.99;$9.99;1.399,00 TL;349,75 TL;Rs?2,499;Rs?624;US$39.99;US$9.99;R$199,50;R$49,87;https://image.api.playstation.com/cdn/UP0102/CUSA01013_00/avik0LrEZGvbZ782Xi2Bo6MQTnF9GupS.png?w=1024&
647;Diablo IV - Standard Edition;show;show;$49.99;$29.99;1.799,99 TL;1.079,99 TL;Rs?4,160;Rs?2,496;US$49.99;US$29.99;R$244,90;R$146,94;https://image.api.playstation.com/vulcan/ap/rnd/202211/3017/Oo1B84A7BLCT157YFSxjtwG0.png?w=1024&
649;Dishonored 2;show;hide;$29.99;-;699,00 TL;-;Rs?1,499;-;US$29.99;-;R$149,50;-;https://image.api.playstation.com/vulcan/ap/rnd/202009/2918/1UfdyQmXpeSdoFE104sNkLd4.png?w=1024&
638;Demons Souls;hide;show;$69.99;-;619,00 TL;-;Rs?4,999;-;US$69.99;-;R$399,90;-;https://image.api.playstation.com/vulcan/img/rnd/202011/1717/GemRaOZaCMhGxQ9dRhnQQyT5.png?w=1024&
635;Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles PS4 & PS5;show;show;$59.99;-;3.449,00 TL;-;Rs?4,399;-;US$59.99;-;R$339,90;-;https://image.api.playstation.com/vulcan/ap/rnd/202106/1704/JzL1NLQvok7Pghe9W5PP2XNV.png?w=1024&
648;Diablo Prime Evil Collection;show;show;$59.99;-;426,10 TL;-;Rs?3,999;-;US$59.99;-;R$279,00;-;https://image.api.playstation.com/vulcan/ap/rnd/202106/0204/bqsJIzUgiInrvLdjTyTMbE3K.png?w=1024&
637;DEATH STRANDING DIRECTOR’S CUT;hide;show;$49.99;-;2.149,00 TL;-;Rs?2,999;-;US$49.99;-;R$249,50;-;https://image.api.playstation.com/vulcan/ap/rnd/202106/2214/Trdth4yKbz45CVH7VGCT1INp.png?w=1024&
