ID,Titulo,PS4,PS5,Tipo,Consola,URL,Venta
1138,Assassins Creed Syndicate,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/EP0001/CUSA02376_00/IK3koKU9jw2vs3b8CF41x9lEcvAIiVpa6z7oGxWvMPHrHnoEbMD53jsGmdiLMP65.png?w=1024&,
1193,Assassins Creed Valhalla - Deluxe Edition,show,show,Primaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202107/1908/cL56NlIExh6iTw6gbcIvmUQ0.png?w=1024&,
1193,Assassins Creed Valhalla - Deluxe Edition,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202107/1908/cL56NlIExh6iTw6gbcIvmUQ0.png?w=1024&,
1193,Assassins Creed Valhalla - Deluxe Edition,show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202107/1908/cL56NlIExh6iTw6gbcIvmUQ0.png?w=1024&,
1124,Atomic Heart - Gold Edition (PS4 & PS5),show,show,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202209/2815/OD6JfndvVxngn2CsysF9pdIN.png?w=1024&,
1124,Atomic Heart - Gold Edition (PS4 & PS5),show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202209/2815/OD6JfndvVxngn2CsysF9pdIN.png?w=1024&,
1124,Atomic Heart - Gold Edition (PS4 & PS5),show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202209/2815/OD6JfndvVxngn2CsysF9pdIN.png?w=1024&,
1181,Batman: Arkham Collection,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/DsXSr2e4lbbinbQ7VOcBIu2HtSTyhrv8.png?w=1024&,
1181,Batman: Arkham Collection,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/DsXSr2e4lbbinbQ7VOcBIu2HtSTyhrv8.png?w=1024&,
1217,Batman: Arkham Knight,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/due3Vp0T2VSGfBtGsWjVnrL4o882iYVk.png?w=1024&,
1217,Batman: Arkham Knight,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/due3Vp0T2VSGfBtGsWjVnrL4o882iYVk.png?w=1024&,
1217,Batman: Arkham Knight,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/due3Vp0T2VSGfBtGsWjVnrL4o882iYVk.png?w=1024&,
1182,Batman: Arkham Knight Premium Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/Qsyx0vsXd6yI1JcqE8wtN3vUiDFjq6xR.png?w=1024&,
1182,Batman: Arkham Knight Premium Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/Qsyx0vsXd6yI1JcqE8wtN3vUiDFjq6xR.png?w=1024&,
1182,Batman: Arkham Knight Premium Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/Qsyx0vsXd6yI1JcqE8wtN3vUiDFjq6xR.png?w=1024&,
1183,Battlefield 1,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP0006/CUSA02429_00/OiogYov24Z1qOACNXqDgXG6HDilA0amk.png?w=1024&,
1183,Battlefield 1,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP0006/CUSA02429_00/OiogYov24Z1qOACNXqDgXG6HDilA0amk.png?w=1024&,
1183,Battlefield 1,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP0006/CUSA02429_00/OiogYov24Z1qOACNXqDgXG6HDilA0amk.png?w=1024&,5.0
1184,Battlefield V,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP0006/CUSA08724_00/knyiQNrzbp6tEe8t04AYRhhJUF5wLIGO.png?w=1024&,
1184,Battlefield V,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP0006/CUSA08724_00/knyiQNrzbp6tEe8t04AYRhhJUF5wLIGO.png?w=1024&,
