ID,Titulo,PS4P,PS4S,PS5P,PS5S,URL
1217,Batman: Arkham Knight,5,,,,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/due3Vp0T2VSGfBtGsWjVnrL4o882iYVk.png?w=1024&
1182,Batman: Arkham Knight Premium Edition,4,,,,https://image.api.playstation.com/cdn/UP1018/CUSA00133_00/Qsyx0vsXd6yI1JcqE8wtN3vUiDFjq6xR.png?w=1024&
1183,Battlefield 1,"8,5",5,,NULL,https://image.api.playstation.com/cdn/UP0006/CUSA02429_00/OiogYov24Z1qOACNXqDgXG6HDilA0amk.png?w=1024&
1183,Battlefield 1,?,,,,https://image.api.playstation.com/cdn/UP0006/CUSA02429_00/OiogYov24Z1qOACNXqDgXG6HDilA0amk.png?w=1024&
1184,Battlefield V,"3,5",3,,,https://image.api.playstation.com/cdn/UP0006/CUSA08724_00/knyiQNrzbp6tEe8t04AYRhhJUF5wLIGO.png?w=1024&
1113,Bloodborne,"8,5",5,,,https://image.api.playstation.com/vulcan/img/rnd/202011/0713/WSZqsrnejjt85wYmUqeBQvMQ.png?w=1024&
1113,Bloodborne,"8,5",,,,https://image.api.playstation.com/vulcan/img/rnd/202011/0713/WSZqsrnejjt85wYmUqeBQvMQ.png?w=1024&
1194,Bloodborne Complete Edition Bundle,"0,00$",,,,https://image.api.playstation.com/cdn/UP9000/CUSA00900_00/9EJsLXyKS0S1BRey5nwQBOuYr6EDRbGX.png?w=1024&
1096,DARK SOULS III - Deluxe Edition,"26,00$",,,,https://image.api.playstation.com/cdn/UP0700/CUSA03388_00/Fg2otuFMeKjhnXG2QLUrwKqrMNvsC0n9.png?w=1024&
1115,Devil May Cry 4 Special Edition,5,,,,https://image.api.playstation.com/cdn/UP0102/CUSA01671_00/Yh4t5jErXoypHgkUevheALHMnEGxEiTb.png?w=1024&
640,Devil May Cry 5 + Vergil,5,,,,https://image.api.playstation.com/vulcan/ap/rnd/202107/3011/rYaiuh9eo4KaCjUjwQsA2xMP.png?w=1024&
640,Devil May Cry 5 + Vergil,5,,,,https://image.api.playstation.com/vulcan/ap/rnd/202107/3011/rYaiuh9eo4KaCjUjwQsA2xMP.png?w=1024&
650,DmC Devil May Cry: Definitive Edition,"12,00$",,,,https://image.api.playstation.com/cdn/UP0102/CUSA01013_00/avik0LrEZGvbZ782Xi2Bo6MQTnF9GupS.png?w=1024&
658,Dragon Age: Inquisition - Game of the Year Edition,"18,00$",,,,https://image.api.playstation.com/cdn/UP0006/CUSA00220_00/IbsDPt3UP6hVS5RC4FGTydyXZ50Qp4uA.png?w=1024&
699,Far Cry 3 Classic Edition,12,,,"3,00$",https://image.api.playstation.com/cdn/UP0001/CUSA10357_00/YoJmqdJ3jDHz0ZQI6DrkzofAXaATiA8K.png?w=1024&
1173,Far Cry 6: Gold Edition PS4 & PS5,10,,,,https://image.api.playstation.com/vulcan/img/rnd/202109/1314/g98aC9BvIoQhD4AqZVpRCa90.png?w=1024&
719,God of War Ragnar�k Digital Deluxe Edition,"14,00$",,"36,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202207/1117/atvwj6aoIQyXIlOrDpOw3LO4.png?w=1024&
1026,Tom Clancy�s Ghost Recon Wildlands Standard Edition,7,,7,,https://image.api.playstation.com/cdn/UP0001/CUSA02902_00/LmixBxp3eIPxu3vc1y4Bxx3UIc3l6rzx.png?w=1024&
769,Kingdoms of Amalur: Re-Reckoning,,,5,,https://image.api.playstation.com/vulcan/ap/rnd/202006/2610/7j1GUXdvOGPoLaaQRt2J2viK.png?w=1024&
787,LIMBO & INSIDE Bundle,4,,4,,https://image.api.playstation.com/vulcan/ap/rnd/202011/3008/WfGeHsHCYoPqM5Ux9HFrT1AR.png?w=1024&
817,Middle-earth: The Shadow Bundle,6,,,,https://image.api.playstation.com/vulcan/ap/rnd/202110/2600/WSkix0tJlfF141wAlSbZQCAb.png?w=1024&
837,Mortal Kombat X,"4,5",,,,https://image.api.playstation.com/cdn/UP1018/CUSA00967_00/5qUomx38PSHOJ5Krej4YQYkPmfqSonCW.png?w=1024&
843,MudRunner - American Wilds Edition,6,,,,https://image.api.playstation.com/cdn/UP4133/CUSA09936_00/zgWd62VcyTyAE1jE3JFcLY1hFftyBIez.png?w=1024&
1100,Outlast,"4,00$",,,,https://image.api.playstation.com/cdn/UP2113/CUSA00325_00/M7Xcn9Q7mUkmm3dSilcsbkORlPPiQ0VK.png?w=1024&
875,Overcooked! 2,6,,,,https://image.api.playstation.com/cdn/UP4064/CUSA10940_00/r0sQ8zaOheA7nh6k6pxzYMT41CnR42rF.png?w=1024&
897,Poppy Playtime: Chapter 1,5,,,,https://image.api.playstation.com/vulcan/ap/rnd/202310/2416/f4c095be7b000a29b298dda4b8a1c28f472466b25f44f1f7.png?w=1024&
1180,Ready or Not,ND,ND,"44,50$",,https://image.api.playstation.com/vulcan/ap/rnd/202504/0914/ccad4abd77d40d3b3c7d77b8e4c9024fae86df781334ed93.png?w=1024&
940,SCARLET NEXUS Deluxe Edition PS4 & PS5,,7,17,NULL,https://image.api.playstation.com/vulcan/ap/rnd/202102/2303/wOaKHu4VK4n4sVGU5XGnWzZY.png?w=1024&
1195,SHADOW OF THE COLOSSUS,"5,00$",,"22,00$",,https://image.api.playstation.com/vulcan/img/rnd/202010/2319/XtqYrG2LWer39eExYBsh9J5x.png?w=1024&
954,Sniper Elite V2 Remastered,10,,4,,https://image.api.playstation.com/cdn/UP4363/CUSA12404_00/lE6iCKmXnRDxHlgfoAY8nME8ym9KCYGS.png?w=1024&
999,The Evil Within 2,8,,,,https://image.api.playstation.com/vulcan/ap/rnd/202010/0100/iLBYSuHyeGG5CVXTkSm4MKTo.png?w=1024&
1108,THE FOREST,"6,00$",,,,https://image.api.playstation.com/cdn/UP0240/CUSA10518_00/Zgjse2LA3r6ZknG2wN4FDAmUuZXwe09g.png?w=1024&
1108,THE FOREST,"6,00$",,,,https://image.api.playstation.com/cdn/UP0240/CUSA10518_00/Zgjse2LA3r6ZknG2wN4FDAmUuZXwe09g.png?w=1024&
1108,The Forest,6,,14,,https://image.api.playstation.com/cdn/UP0240/CUSA10518_00/Zgjse2LA3r6ZknG2wN4FDAmUuZXwe09g.png?w=1024&
1005,The Last Of Us Remastered,"9,00$",,"20,00$",,https://image.api.playstation.com/vulcan/img/rnd/202011/1020/FKgazVvG7BcWouCr39mIiXkW.png?w=1024&
1026,Tom Clancy�s Ghost Recon Wildlands Standard Edition,9,5,,NULL,https://image.api.playstation.com/cdn/UP0001/CUSA02902_00/LmixBxp3eIPxu3vc1y4Bxx3UIc3l6rzx.png?w=1024&
1026,Tom Clancy�s Ghost Recon Wildlands Standard Edition,13,,"5,5",,https://image.api.playstation.com/cdn/UP0001/CUSA02902_00/LmixBxp3eIPxu3vc1y4Bxx3UIc3l6rzx.png?w=1024&
1026,Tom Clancy�s Ghost Recon Wildlands Standard Edition,"4,5",,7,,https://image.api.playstation.com/cdn/UP0001/CUSA02902_00/LmixBxp3eIPxu3vc1y4Bxx3UIc3l6rzx.png?w=1024&
1026,Tom Clancy�s Ghost Recon Wildlands Standard Edition,"4,5",,,,https://image.api.playstation.com/cdn/UP0001/CUSA02902_00/LmixBxp3eIPxu3vc1y4Bxx3UIc3l6rzx.png?w=1024&
